username,password,name,region,teamid,matchplays,matchwins,tournamentplays,tournamentwins
eze,password,Dominic,USA,,0,0,0,0
Stewie2k,password,Stewart,USA,,5,0,0,0
physix,password,Matthew,USA,,10,4,2,0
lazydog,password,Mark,USA,,15,15,3,2
arteezy,password,Luke,USA,,50,20,4,0
Shroud,password,Michael,USA,,25,5,2,2
r0pz,password,John,USA,,30,20,5,1
skeeter,password,Bruce,USA,,35,30,1,1
Jengablock,password,Banner,USA,,40,20,2,2
Snax,password,Jacob,EUW,,0,0,0,0
Wings,password,Peter,EUW,,0,0,0,0
DLow,password,Bob,EUW,,0,0,0,0
Codfish,password,Joseph,EUW,,0,0,0,0
s1mple,password,Stephen,EUW,,0,0,0,0
goated,password,Johnson,EUW,,0,0,0,0
bubbles,password,James,EUW,,0,0,0,0
flash,password,Joshua,EUW,,0,0,0,0
